2025-06-02,02:00 CEST,"1,10 m","0,67 %"
2025-06-02,05:00 CEST,"0,83 m","1,18 %"
2025-06-02,08:00 CEST,"0,70 m","9,88 %"
2025-06-02,11:00 CEST,"0,58 m","2,97 %"
2025-06-02,14:00 CEST,"0,48 m","12,54 %"
2025-06-02,17:00 CEST,"0,36 m","44,44 %"
2025-06-02,20:00 CEST,"0,38 m","33,52 %"
2025-06-02,23:00 CEST,"0,41 m","23,80 %"
2025-06-03,02:00 CEST,"0,47 m","16,34 %"
2025-06-03,05:00 CEST,"0,52 m","17,90 %"
2025-06-03,08:00 CEST,"0,54 m","13,72 %"
2025-06-03,11:00 CEST,"0,64 m","8,81 %"
2025-06-03,14:00 CEST,"0,94 m","12,32 %"
2025-06-03,17:00 CEST,"1,14 m","11,11 %"
2025-06-03,20:00 CEST,"1,22 m","3,25 %"
2025-06-03,23:00 CEST,"1,11 m","3,25 %"
2025-06-04,02:00 CEST,"0,99 m","1,47 %"
2025-06-04,05:00 CEST,"0,94 m","1,37 %"
2025-06-04,08:00 CEST,"1,07 m","1,06 %"
2025-06-04,11:00 CEST,"1,03 m","0,34 %"
2025-06-04,14:00 CEST,"0,98 m","0,09 %"
2025-06-04,17:00 CEST,"1,06 m","0,08 %"
2025-06-04,20:00 CEST,"1,12 m","0,00 %"
2025-06-04,23:00 CEST,"0,93 m","0,00 %"
2025-06-05,02:00 CEST,"0,67 m","0,02 %"
2025-06-05,05:00 CEST,"0,64 m","0,00 %"
2025-06-05,08:00 CEST,"0,64 m","0,00 %"
2025-06-05,11:00 CEST,"0,68 m","0,00 %"
2025-06-05,14:00 CEST,"0,88 m","0,00 %"
2025-06-05,17:00 CEST,"0,72 m","0,00 %"
2025-06-05,20:00 CEST,"0,56 m","0,00 %"
2025-06-05,23:00 CEST,"0,64 m","0,02 %"
2025-06-06,02:00 CEST,"0,90 m","0,05 %"
2025-06-06,05:00 CEST,"1,18 m","0,11 %"
2025-06-06,08:00 CEST,"1,32 m","0,21 %"
2025-06-06,11:00 CEST,"1,40 m","0,33 %"
2025-06-06,14:00 CEST,"1,44 m","0,58 %"
2025-06-06,17:00 CEST,"1,46 m","0,57 %"
2025-06-06,20:00 CEST,"1,40 m","0,41 %"
2025-06-06,23:00 CEST,"1,24 m","0,65 %"
2025-06-07,02:00 CEST,"1,23 m","1,30 %"
2025-06-07,05:00 CEST,"0,98 m","1,26 %"
2025-06-07,08:00 CEST,"1,04 m","0,75 %"
2025-06-07,11:00 CEST,"1,16 m","0,48 %"
2025-06-07,14:00 CEST,"1,29 m","0,38 %"
2025-06-07,17:00 CEST,"1,34 m","0,14 %"
2025-06-07,20:00 CEST,"1,30 m","0,48 %"
2025-06-07,23:00 CEST,"1,12 m","0,51 %"
